USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AL	01001	00161526	Autauga County	1539614693	25744269	594.449	9.94	32.532237	-86.64644                                                                                                                   
AL	01003	00161527	Baldwin County	4117605847	1133109409	1589.817	437.496	30.659218	-87.746067                                                                                                            
AL	01005	00161528	Barbour County	2292144656	50538698	885.002	19.513	31.870253	-85.405104                                                                                                                
AL	01007	00161529	Bibb County	1612165763	9603798	622.461	3.708	33.015893	-87.127148                                                                                                                     
AL	01009	00161530	Blount County	1670079465	15039864	644.821	5.807	33.977358	-86.56644                                                                                                                   
AL	01011	00161531	Bullock County	1613059168	6054988	622.806	2.338	32.101759	-85.717261                                                                                                                  
AL	01013	00161532	Butler County	2011985458	2718248	776.832	1.05	31.751667	-86.681969                                                                                                                    
AL	01015	00161533	Calhoun County	1569244078	16573120	605.889	6.399	33.771706	-85.822513                                                                                                                 
AL	01017	00161534	Chambers County	1545009122	17048126	596.531	6.582	32.915504	-85.394032                                                                                                                
AL	01019	00161535	Cherokee County	1434228753	119702920	553.759	46.218	34.069515	-85.654242                                                                                                              
AL	01021	00161536	Chilton County	1794478905	20590301	692.852	7.95	32.854051	-86.726607                                                                                                                  
AL	01023	00161537	Choctaw County	2365869837	19144469	913.467	7.392	31.990954	-88.248889                                                                                                                 
AL	01025	00161538	Clarke County	3207494103	36657891	1238.42	14.154	31.685521	-87.818624                                                                                                                 
AL	01027	00161539	Clay County	1564253513	5283523	603.962	2.04	33.2704	-85.863525                                                                                                                        
AL	01029	00161540	Cleburne County	1450663938	2354898	560.105	0.909	33.671964	-85.516126                                                                                                                 
AL	01031	00161541	Coffee County	1758565927	3907189	678.986	1.509	31.402258	-85.989602                                                                                                                   
AL	01033	00161542	Colbert County	1534875463	80027136	592.619	30.899	34.703112	-87.801457                                                                                                                
AL	01035	00161543	Conecuh County	2201948618	6643480	850.177	2.565	31.430926	-86.988722                                                                                                                  
AL	01037	00161544	Coosa County	1685850816	39987274	650.911	15.439	32.931445	-86.243482                                                                                                                  
AL	01039	00161545	Covington County	2668871125	34489285	1030.457	13.316	31.243987	-86.448721                                                                                                             
AL	01041	00161546	Crenshaw County	1576952826	5388561	608.865	2.081	31.732826	-86.319222                                                                                                                 
AL	01043	00161547	Cullman County	1903070708	52424813	734.78	20.241	34.131923	-86.869267                                                                                                                 
AL	01045	00161548	Dale County	1453311031	4016457	561.127	1.551	31.430654	-85.609476                                                                                                                     
AL	01047	00161549	Dallas County	2534863481	39131006	978.716	15.109	32.33354	-87.114356                                                                                                                  
AL	01049	00161550	DeKalb County	2012676476	4121538	777.099	1.591	34.460929	-85.803992                                                                                                                   
AL	01051	00161551	Elmore County	1601762124	99965171	618.444	38.597	32.597229	-86.142735                                                                                                                 
AL	01053	00161552	Escambia County	2447822304	20797758	945.11	8.03	31.122287	-87.16841                                                                                                                   
AL	01055	00161553	Etowah County	1386383039	34559412	535.286	13.343	34.047641	-86.034263                                                                                                                 
AL	01057	00161554	Fayette County	1625693280	4330881	627.684	1.672	33.716157	-87.764292                                                                                                                  
AL	01059	00161555	Franklin County	1641839976	32645401	633.918	12.604	34.441989	-87.842814                                                                                                               
AL	01061	00161556	Geneva County	1487870866	11604964	574.47	4.481	31.092382	-85.821022                                                                                                                   
AL	01063	00161557	Greene County	1675782063	33416143	647.023	12.902	32.844497	-87.9642                                                                                                                   
AL	01065	00161558	Hale County	1667907107	32423356	643.983	12.519	32.752796	-87.623061                                                                                                                   
AL	01067	00161559	Henry County	1454926615	16986823	561.75	6.559	31.516978	-85.239971                                                                                                                    
AL	01069	00161560	Houston County	1501807104	4730565	579.851	1.826	31.158183	-85.296411                                                                                                                  
AL	01071	00161561	Jackson County	2791974087	126334708	1077.987	48.778	34.764114	-85.980056                                                                                                              
AL	01073	00161562	Jefferson County	2877921069	32756125	1111.172	12.647	33.553444	-86.896536                                                                                                             
AL	01075	00161563	Lamar County	1566544636	1600679	604.846	0.618	33.787085	-88.087431                                                                                                                    
AL	01077	00161564	Lauderdale County	1730742958	133012067	668.244	51.356	34.904122	-87.650997                                                                                                            
AL	01079	00161565	Lawrence County	1788859207	68687366	690.682	26.52	34.529776	-87.321865                                                                                                                
AL	01081	00161566	Lee County	1573550101	21491164	607.551	8.298	32.604064	-85.353048                                                                                                                     
AL	01083	00161567	Limestone County	1450278151	122329451	559.956	47.232	34.810239	-86.981399                                                                                                             
AL	01085	00161568	Lowndes County	1854201380	23721835	715.911	9.159	32.147888	-86.650586                                                                                                                 
AL	01087	00161569	Macon County	1576801788	11399310	608.807	4.401	32.387027	-85.692887                                                                                                                   
AL	01089	00161570	Madison County	2076145098	28777508	801.604	11.111	34.764238	-86.55108                                                                                                                 
AL	01091	00161572	Marengo County	2530140238	14966620	976.893	5.779	32.247591	-87.791091                                                                                                                 
AL	01093	00161573	Marion County	1922656984	3183684	742.342	1.229	34.138219	-87.881551                                                                                                                   
AL	01095	00161574	Marshall County	1465528724	148498594	565.844	57.336	34.309564	-86.321668                                                                                                              
AL	01097	00161575	Mobile County	3184127436	1073844850	1229.399	414.614	30.684572	-88.196568                                                                                                             
AL	01099	00161576	Monroe County	2656517454	22609680	1025.687	8.73	31.580332	-87.383266                                                                                                                  
AL	01101	00161577	Montgomery County	2033764493	37997545	785.241	14.671	32.202881	-86.204461                                                                                                             
AL	01103	00161578	Morgan County	1500602270	50931876	579.386	19.665	34.454484	-86.846402                                                                                                                 
AL	01105	00161579	Perry County	1863885725	10952676	719.65	4.229	32.639005	-87.293827                                                                                                                    
AL	01107	00161580	Pickens County	2282893859	22521211	881.43	8.695	33.296793	-88.096863                                                                                                                  
AL	01109	00161581	Pike County	1740647521	2336975	672.068	0.902	31.798651	-85.941604                                                                                                                     
AL	01111	00161582	Randolph County	1503615934	9285420	580.549	3.585	33.296475	-85.464068                                                                                                                 
AL	01113	00161583	Russell County	1660557977	15661281	641.145	6.047	32.289811	-85.18698                                                                                                                  
AL	01115	00164997	St. Clair County	1636634176	56284614	631.908	21.732	33.712963	-86.315663                                                                                                              
AL	01117	00161584	Shelby County	2034107820	62542790	785.373	24.148	33.263043	-86.678089                                                                                                                 
AL	01119	00161585	Sumter County	2340898915	24634883	903.826	9.512	32.597481	-88.200057                                                                                                                  
AL	01121	00161586	Talladega County	1908251622	60931665	736.78	23.526	33.369314	-86.17593                                                                                                                
AL	01123	00161587	Tallapoosa County	1855771079	128817905	716.517	49.737	32.863369	-85.799553                                                                                                            
AL	01125	00161588	Tuscaloosa County	3421041792	78682797	1320.872	30.38	33.29022	-87.522783                                                                                                              
AL	01127	00161589	Walker County	2048686077	36754700	791.002	14.191	33.791558	-87.301094                                                                                                                 
AL	01129	00161590	Washington County	2797720370	21652733	1080.206	8.36	31.405217	-88.197564                                                                                                              
AL	01131	00161591	Wilcox County	2301075110	49057525	888.45	18.941	31.990082	-87.304935                                                                                                                  
AL	01133	00161592	Winston County	1587608917	48922729	612.979	18.889	34.154607	-87.36529                                                                                                                 
AK	02013	01419964	Aleutians East Borough	18091325125	20800198540	6985.1	8031.002	55.245044	-161.997477                                                                                                  
AK	02016	01419965	Aleutians West Census Area	11376643262	25184877501	4392.547	9723.936	51.948964	+179.621188                                                                                            
AK	02020	01416061	Anchorage Municipality	4419537010	615526050	1706.393	237.656	61.17425	-149.284329                                                                                                     
AK	02050	01419966	Bethel Census Area	105228855314	12768607553	40629.09	4929.987	60.929141	-160.152625                                                                                                   
AK	02060	01419967	Bristol Bay Borough	1248342013	949750202	481.988	366.701	58.741615	-156.966992                                                                                                        
AK	02068	01419988	Denali Borough	32729613863	66068878	12636.975	25.509	63.681106	-150.026544                                                                                                            
AK	02070	01419968	Dillingham Census Area	47477685010	5951019310	18331.237	2297.701	59.543326	-158.267123                                                                                                
AK	02090	01419969	Fairbanks North Star Borough	18982307701	274103901	7329.11	105.832	64.692317	-146.601733                                                                                              
AK	02100	01419970	Haines Borough	6233111973	1054089659	2406.618	406.986	59.098404	-135.575791                                                                                                           
AK	02105	02371430	Hoonah-Angoon Census Area	16981434901	7808657621	6556.569	3014.94	58.253462	-136.320731                                                                                               
AK	02110	01419971	Juneau City and Borough	6829216436	1423792753	2636.775	549.729	58.643523	-134.281167                                                                                                  
AK	02122	01419972	Kenai Peninsula Borough	41499900917	22525622024	16023.202	8697.192	60.366668	-152.322283                                                                                              
AK	02130	01419973	Ketchikan Gateway Borough	12579507052	5220218255	4856.975	2015.538	55.449938	-131.106685                                                                                              
AK	02150	01419974	Kodiak Island Borough	17134142683	14166400752	6615.53	5469.678	57.7044	-153.918372                                                                                                    
